feature,importance_mean,importance_std,importance_min,importance_max,rank
kw_avg_avg,0.13633467,0.0071072513,0.12551832,0.14606042,1
data_channel_is_entertainment,0.121503375,0.008000408,0.10917903,0.14246024,2
is_weekend,0.10421208,0.0048659807,0.09542098,0.111081876,3
self_reference_avg_sharess,0.07948119,0.0036117795,0.07111308,0.08502697,4
data_channel_is_socmed,0.06553852,0.006835538,0.052911937,0.075962275,5
data_channel_is_world,0.062286153,0.011276418,0.042791717,0.08007924,6
data_channel_is_bus,0.05170954,0.0055118096,0.042979382,0.062314276,7
LDA_02,0.038933117,0.0020762736,0.03529068,0.04323103,8
num_imgs,0.03292085,0.001752036,0.029650744,0.036188785,9
n_tokens_content,0.030675197,0.001296373,0.028649658,0.03312544,10
LDA_01,0.029791899,0.0014435828,0.027069751,0.03281106,11
num_videos,0.027980847,0.0012822421,0.025451614,0.030362433,12
LDA_00,0.026883246,0.0009924098,0.025058042,0.029056355,13
LDA_03,0.024076004,0.0012424057,0.022020733,0.026628215,14
weekday_is_wednesday,0.023383014,0.002293327,0.01950613,0.028119123,15
num_self_hrefs,0.023262968,0.0013805984,0.02071448,0.025367826,16
data_channel_is_lifestyle,0.021718843,0.0021945576,0.018070024,0.024963072,17
weekday_is_monday,0.021710733,0.00259041,0.016241536,0.026458673,18
weekday_is_friday,0.021182116,0.0030674988,0.014934504,0.027522562,19
n_tokens_title,0.02010454,0.001066202,0.017817901,0.021970447,20
weekday_is_tuesday,0.018726062,0.0028864157,0.013883736,0.023566522,21
weekday_is_thursday,0.017585019,0.003617694,0.011448989,0.02595445,22
