feature,importance_mean,importance_std,importance_min,importance_max,rank
data_channel_is_world,0.4368939,0.044584457,0.32996178,0.4940531,1
data_channel_is_bus,0.13694988,0.013317398,0.102331884,0.15920885,2
n_tokens_content,0.057673376,0.0064845067,0.04818598,0.07273257,3
LDA_02,0.05497397,0.010125885,0.04091386,0.07967329,4
data_channel_is_entertainment,0.05244907,0.010846901,0.03727498,0.07503037,5
LDA_03,0.040075317,0.004388971,0.031756107,0.049661163,6
num_self_hrefs,0.028341722,0.0028876055,0.02229246,0.034472466,7
kw_avg_avg,0.026001211,0.0025822255,0.021991199,0.02960754,8
num_imgs,0.02135021,0.0017480382,0.018525198,0.025020294,9
num_videos,0.02130634,0.0017534553,0.01810001,0.02425726,10
data_channel_is_lifestyle,0.01763096,0.0032545463,0.013422984,0.024767388,11
LDA_00,0.014275094,0.0017254387,0.011221306,0.017167863,12
self_reference_avg_sharess,0.011179996,0.0012568043,0.008989347,0.013790826,13
LDA_01,0.010973621,0.0012641371,0.009150405,0.012703791,14
weekday_is_thursday,0.010549231,0.0017835716,0.0066864477,0.013553619,15
weekday_is_friday,0.010368679,0.0014218861,0.007720509,0.012899683,16
weekday_is_monday,0.009940112,0.0024238876,0.005940278,0.016082464,17
is_weekend,0.009668525,0.0032167498,0.004400108,0.015674222,18
weekday_is_wednesday,0.007863792,0.0018046435,0.004895928,0.011124291,19
n_tokens_title,0.0077008572,0.000854772,0.006116828,0.009726812,20
weekday_is_tuesday,0.0073324605,0.0011965086,0.0053898627,0.009210287,21
data_channel_is_socmed,0.0065016616,0.0019301649,0.004231234,0.011347541,22
